sample_id,article_group,view,mask_fraction,replicate,distance_threshold,rule,eligible_pairs,reference_close_pairs,accepted_pairs,contradictory_pairs,retained_reference_close_pairs,point_defined_pairs
l217-s6-ash-2002,article:l217,material_identity,0.0,0,0.4,coverage_0.75,119,22,0,0,0,119
l217-s6-ash-2002,article:l217,material_identity,0.0,0,0.5,reported_point,119,23,23,0,23,119
l217-s6-ash-2002,article:l217,material_identity,0.0,0,0.5,interval_upper,119,23,0,0,0,119
l217-s6-ash-2002,article:l217,material_identity,0.0,0,0.5,coverage_0.5,119,23,0,0,0,119
l217-s6-ash-2002,article:l217,material_identity,0.0,0,0.5,coverage_0.75,119,23,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.1,reported_point,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.1,interval_upper,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.1,coverage_0.5,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.1,coverage_0.75,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.2,reported_point,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.2,interval_upper,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.2,coverage_0.5,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.2,coverage_0.75,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.3,reported_point,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.3,interval_upper,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.3,coverage_0.5,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.3,coverage_0.75,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.4,reported_point,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.4,interval_upper,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.4,coverage_0.5,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.4,coverage_0.75,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.5,reported_point,119,4,4,0,4,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.5,interval_upper,119,4,0,0,0,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.5,coverage_0.5,119,4,4,0,4,119
l217-s6-ash-2002,article:l217,experimental_protocol,0.0,0,0.5,coverage_0.75,119,4,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.1,reported_point,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.1,interval_upper,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.1,coverage_0.5,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.1,coverage_0.75,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.2,reported_point,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.2,interval_upper,119,0,0,0,0,119
l217-s6-ash-2002,article:l217,balanced_instance,0.0,0,0.2,coverage_0.5,119,0,0,0,0,119
